transactionType,amount,originBalanceBefore,originBalanceAfter,destinationBalanceBefore,destinationBalanceAfter
TRANSFER,89631.24,89631.24,0.0,0.0,0.0
TRANSFER,21571.0,21571.0,0.0,0.0,0.0
CASH_OUT,11308.0,11308.0,0.0,0.0,302550.56
TRANSFER,60726.57,60726.57,0.0,0.0,0.0
CASH_OUT,216422.0,216422.0,0.0,10097.0,48630.5
CASH_OUT,60726.57,60726.57,0.0,13010502.78,13071229.35
TRANSFER,2007.0,2007.0,0.0,0.0,0.0
TRANSFER,2806.0,2806.0,0.0,0.0,0.0
CASH_OUT,13704.0,13704.0,0.0,3382.84,143675.35
TRANSFER,222.0,222.0,0.0,0.0,267095.19
CASH_OUT,93810.76,93810.76,0.0,4096048.05,4189858.81
TRANSFER,86070.17,86070.17,0.0,0.0,0.0
TRANSFER,30521.02,30521.02,0.0,0.0,0.0
CASH_OUT,85354.69,85354.69,0.0,11170.0,10612.55
CASH_OUT,235238.66,235238.66,0.0,0.0,235238.66
CASH_OUT,2662734.59,2662734.59,0.0,14165.62,2930405.33
TRANSFER,2930418.44,2930418.44,0.0,0.0,0.0
TRANSFER,13707.11,13707.11,0.0,0.0,0.0
TRANSFER,20128.0,20128.0,0.0,0.0,0.0
CASH_OUT,17246.0,17246.0,0.0,0.0,17246.0
