transactionType,amount,originBalanceBefore,originBalanceAfter,destinationBalanceBefore,destinationBalanceAfter
CASH_OUT,164.0,164.0,0.0,4068.0,0.0
CASH_OUT,441445.58,441445.58,0.0,98993.5,0.0
PAYMENT,10497.33,2684.69,0.0,0.0,0.0
TRANSFER,1123206.66,0.0,0.0,1773963.18,3940085.21
CASH_IN,175443.85,3156649.13,3332092.98,2918681.63,3420103.09
CASH_OUT,222.0,222.0,0.0,24708.0,171647.35
CASH_IN,32325.24,4473650.15,4505975.39,158866.76,265092.36
TRANSFER,19472.0,19472.0,0.0,0.0,0.0
TRANSFER,2093951.47,2093951.47,0.0,0.0,0.0
CASH_OUT,149668.66,0.0,0.0,44170.11,193838.76
CASH_OUT,181.0,181.0,0.0,21182.0,0.0
PAYMENT,5831.03,0.0,0.0,0.0,0.0
CASH_OUT,1055.0,1055.0,0.0,75179.0,0.0
TRANSFER,235238.66,235238.66,0.0,0.0,0.0
CASH_OUT,187726.67,0.0,0.0,190573.0,1567434.81
CASH_OUT,454859.39,0.0,0.0,0.0,454859.39
PAYMENT,2691.57,11618.0,8926.43,0.0,0.0
CASH_OUT,25793.74,0.0,0.0,215312.31,49864.36
PAYMENT,3399.54,40264.0,36864.46,0.0,0.0
PAYMENT,7079.24,13878.66,6799.42,0.0,0.0
