transactionType,amount,originBalanceBefore,originBalanceAfter,destinationBalanceBefore,destinationBalanceAfter
PAYMENT,4086.5,0.0,0.0,0.0,0.0
CASH_OUT,220691.42,0.0,0.0,6093090.62,19169204.93
PAYMENT,3943.17,36786.34,32843.16,0.0,0.0
PAYMENT,5324.43,482008.15,476683.72,0.0,0.0
PAYMENT,2560.74,5070.0,2509.26,0.0,0.0
PAYMENT,8787.63,50784.0,41996.37,0.0,0.0
PAYMENT,1635.86,0.0,0.0,0.0,0.0
PAYMENT,4779.93,121.0,0.0,0.0,0.0
CASH_IN,7322.98,6681389.66,6688712.64,64966.0,57643.02
PAYMENT,17389.94,0.0,0.0,0.0,0.0
PAYMENT,1624.03,3079.0,1454.97,0.0,0.0
CASH_IN,254286.27,22351.0,276637.27,11155.0,0.0
PAYMENT,4013.02,92119.56,88106.55,0.0,0.0
CASH_IN,313373.56,20140.16,333513.72,2034312.57,971418.91
PAYMENT,9818.95,151.0,0.0,0.0,0.0
CASH_IN,186838.95,6185786.33,6372625.28,418838.5,46820.71
PAYMENT,3599.77,147145.0,143545.23,0.0,0.0
DEBIT,2869.65,8768.0,5898.35,15485.0,5484.37
CASH_IN,120234.99,1155863.3,1276098.29,194026.33,965870.05
PAYMENT,8074.16,21495.0,13420.84,0.0,0.0
